Code	Title	Price
NHIA-062-010	NHIA-062-010 - Cystic Hygroma Excision	49000.00
NHIA-062-011	NHIA-062-011 - Cystourethroscopy	49000.00
NHIA-062-012	NHIA-062-012 - Drainage of Ischio Rectal Abscess	49000.00
NHIA-062-013	NHIA-062-013 - Drainage of Psoas Abscess	49000.00
NHIA-062-014	NHIA-062-014 - Enterocele Or Vault Prolapse Repair	49000.00
NHIA-062-015	NHIA-062-015 - Epididectomy	49000.00
NHIA-062-016	NHIA-062-016 - Evacuation of Scrotal Hematoma	49000.00
NHIA-062-017	NHIA-062-017 - Excision Bronchial Sinus	49000.00
NHIA-062-018	NHIA-062-018 - Excision Mammary Fistula	49000.00
NHIA-062-019	NHIA-062-019 - Excision of Urethral Carbuncle	49000.00
NHIA-062-020	NHIA-062-020 - Excision Pilonidal Sinus	49000.00
NHIA-062-021	NHIA-062-021 - Excision of Haemangiomas	49000.00
NHIA-062-022	NHIA-062-022 - Facial Decompression	49000.00
NHIA-062-023	NHIA-062-023 - Fibroadenoma - Bilateral (Bilateral Breast Mass Excision)	49000.00
NHIA-062-024	NHIA-062-024 - Fibroma - Excision	49000.00
NHIA-062-025	NHIA-062-025 - Fissurectomy	49000.00
NHIA-062-026	NHIA-062-026 - Fistula In - Ano Repair	49000.00
NHIA-062-027	NHIA-062-027 - Fistula Repair	49000.00
NHIA-062-028	NHIA-062-028 - Fistulectomy	49000.00
NHIA-062-029	NHIA-062-029 - Fulguration (Anal, Penile, Perineal)	49000.00
NHIA-062-030	NHIA-062-030 - Haemangioma - Excision	49000.00
NHIA-062-031	NHIA-062-031 - Haemorrhoidectomy	49000.00
NHIA-062-032	NHIA-062-032 - Herniorrhaphies (all types)	49000.00
NHIA-062-033	NHIA-062-033 - Hiatus Herniorrhaphy	49000.00
NHIA-062-034	NHIA-062-034 - Hydrocoelectomy	49000.00
NHIA-062-035	NHIA-062-035 - Inguinal Node (bulk dissection) Axial	49000.00
NHIA-062-036	NHIA-062-036 - Injection Sclerotherapy of Varicose Veins (minor)	49000.00
